restaurant_id,Name,Address
1,Restaurante New Loyce,45571 Sarina Pines
2,Restaurante Holdenburgh,28449 Jackie Court
3,Restaurante West Ardith,197 S 5th Street
4,Restaurante Huntington,25574 Memorial Drive
5,Restaurante Spinkahaven,3715 N Oak Street
6,Restaurante Fort Napoleon,147 Mertz Mills
7,Restaurante Aminachester,631 Romaine Pass
8,Restaurante Mertzland,2899 Monahan Valley
9,Restaurante Lakinborough,8168 S College Street
10,Restaurante West Ellen,67741 Niko Dam
11,Restaurante Runolfssonboro,695 W Elm Street
12,Restaurante North Kariworth,8692 Smitham Knoll
13,Restaurante Great Falls,1378 Bertha Loaf
14,Restaurante North Coltenfield,236 Evie Walks
15,Restaurante Bashirianberg,3814 Jeramie Forks
16,Restaurante Fort Mekhiberg,1106 Schaden Wall
17,Restaurante New Justine,765 Hill Road
18,Restaurante Marquardtland,4583 Tyrese Knoll
19,Restaurante North Graceville,71257 Church Avenue
20,Restaurante Port Ariane,4041 Ali Oval
21,Restaurante Curtland,80799 Paula Center
22,Restaurante East Giuseppetown,787 Delaney Freeway
23,Restaurante Gulgowskiberg,60379 N Walnut Street
24,Restaurante Brownmouth,3319 Castle Road
25,Restaurante Ellatown,641 Sporer Extensions
26,Restaurante New Lenny,3212 Mann Estate
27,Restaurante Port Stacey,1768 Howard Falls
28,Restaurante Port Amirville,82373 Keyon Underpass
29,Restaurante Montebello,2108 Soledad Springs
30,Restaurante Pittsfield,6930 Veterans Memorial Drive
31,Restaurante Whitechester,760 Larry Shoal
32,Restaurante Kunzeview,21341 Hill Street
33,Restaurante Donniestad,933 The Lane
34,Restaurante West Icie,3862 Volkman Parkway
35,Restaurante East Sigurdberg,505 Bramley Close
36,Restaurante North Lew,19583 Vicarage Lane
37,Restaurante North Isadore,572 Geovanni Loaf
38,Restaurante South Hassie,89734 Skyla Drive
39,Restaurante San Leandro,15343 Williamson Crossing
40,Restaurante Thurmanhaven,34099 Grady Avenue
41,Restaurante Fort Eulalia,137 Bode Turnpike
42,Restaurante Sengerfurt,2044 Dejuan Lodge
43,Restaurante Giovannabury,38631 Hilpert Courts
44,Restaurante Hanechester,161 W 6th Avenue
45,Restaurante Katarinacester,92508 Murray Road
